gene_symbol;fpkm_ctl_B_1D6_d7;fpkm_ctl_B_4C2_d7;fpkm_ctl_B_WTC11_d7;fpkm_het_B_2A3_d7;fpkm_het_B_3D4_8_d7;fpkm_het_B_4A4_d7;fpkm_hom_B_2B1_9_d7;fpkm_hom_B_2B4_1_d7;fpkm_hom_B_3D6_d7;average_fpkm_ctl_BMP_d7;average_fpkm_het_BMP_d7;average_fpkm_hom_BMP_d7;log2fc_het_BMP_D7_vs_ctl_BMP_D7;padj_het_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_ctl_BMP_D7;padj_hom_BMP_D7_vs_ctl_BMP_D7;log2fc_hom_BMP_D7_vs_het_BMP_D7;padj_hom_BMP_D7_vs_het_BMP_D7
PTP4A1;40.35;27.52;30.45;16.76;17.51;16.23;17.51;17.26;32.81;32.77333333;16.83333333;22.52666667;-1.042573609;0.000469004;-0.602499658;0.446846776;0.436541592;0.871118545
TFAP2C;1.17;1.41;5.29;1.84;1.34;1.68;0.23;0.19;0.12;2.623333333;1.62;0.18;-0.766060885;0.99985652;-3.930057563;2.97E-08;-3.166521425;5.54E-11
PRSS56;0.28;3.29;3.01;3.59;0.14;3.37;0;0;0;2.193333333;2.366666667;0;-0.011473763;0.999907217;-8.851196946;0.000738229;-8.839902084;0.006240279
LGI4;12.8;17.89;19.62;15.89;11.47;14.55;9.32;9.53;11.61;16.77;13.97;10.15333333;-0.343401603;0.99985652;-0.793127043;0.009276066;-0.452462411;0.200545249
PLAT;4.45;7.41;13.81;13.03;4.55;12.67;1.77;1.82;1.84;8.556666667;10.08333333;1.81;0.15274838;0.99985652;-2.294765445;2.71E-08;-2.449165507;6.04E-10
PAX3;35.71;36.1;53.83;49.87;30.17;48.51;17.9;21.89;16.73;41.88;42.85;18.84;-0.107753216;0.99985652;-1.248357139;2.97E-08;-1.143641463;9.56E-08
PPP1R1A;19.45;33.01;25.07;17.31;13.99;13.42;9.89;12.54;9.46;25.84333333;14.90666667;10.63;-0.899016429;0.165480803;-1.367098232;1.79E-06;-0.471269915;0.232447691
ADAMTS15;1.92;2.57;5.64;2.71;1.4;2.53;0.67;0.63;0.67;3.376666667;2.213333333;0.656666667;-0.612600896;0.99985652;-2.351989413;1.24E-07;-1.74179678;2.06E-07
PRAG1;10.66;11.81;13.79;11.91;9.62;11.82;7.68;6.69;8.78;12.08666667;11.11666667;7.716666667;-0.200983533;0.99985652;-0.707426159;0.003436716;-0.509176031;0.032206177
MTFP1;38.15;51.79;44.24;26.64;35.37;19.4;24.26;25;30.71;44.72666667;27.13666667;26.65666667;-0.832346213;0.641924688;-0.849677031;0.001126636;-0.020182929;0.999982966
EDNRA;2.63;3.15;11.66;6.33;1.55;4.97;0.63;0.7;0.54;5.813333333;4.283333333;0.623333333;-0.528291013;0.99985652;-3.244428196;0.000689339;-2.718351612;1.93E-07
RPS29;8067.86;10111.86;9310.7;6802.44;7370.03;6597.21;7952.28;7380.38;7403.25;9163.473333;6923.226667;7578.636667;-0.866059153;0.011352372;-0.820545226;1.86E-05;0.042832558;0.999982966
FGF18;3.45;2.6;2.27;1.34;2.33;1.09;1.3;0.93;1.23;2.773333333;1.586666667;1.153333333;-0.894187592;0.99985652;-1.346086856;0.004172935;-0.456489762;0.999982966
COL23A1;1.18;2.89;2.79;2.45;1.5;2.29;0.73;0.39;0.62;2.286666667;2.08;0.58;-0.243334989;0.99985652;-2.038844263;0.000270075;-1.797481266;8.81E-05
LDHA;223.19;155.2;177.7;89.44;159.12;52.58;92.16;82.62;124.89;185.3633333;100.38;99.89;-0.949899432;0.835659347;-0.953829012;0.000495475;-0.007941669;0.999982966
SNAI2;6.77;5.5;20.94;10.41;7.12;8.86;1.48;0.73;1.34;11.07;8.796666667;1.183333333;-0.409024941;0.99985652;-3.282360857;7.26E-10;-2.87511136;4.83E-22
GAS7;1.14;1.2;2.63;1.92;1.04;1.52;0.77;0.44;0.66;1.656666667;1.493333333;0.623333333;-0.224446429;0.99985652;-1.461880425;0.005610119;-1.23962677;0.004769433
ECEL1;1.47;5.2;7.22;6.78;0.69;5.54;0.92;0.68;0.67;4.63;4.336666667;0.756666667;-0.197124827;0.99985652;-2.67357154;4.79E-06;-2.477431801;0.007793807
STC2;50.88;28.81;42.88;16.99;36.42;13.1;20.8;14.9;25.79;40.85666667;22.17;20.49666667;-0.946064043;0.93258579;-1.05582821;0.003357321;-0.113667802;0.999982966
DDIT4;298.27;338.26;355.22;222.2;282.8;157.09;211.91;183.34;244.84;330.5833333;220.6966667;213.3633333;-0.671779561;0.78149999;-0.711295459;0.000652711;-0.042471855;0.999982966
HK2;21.22;15.14;25.4;11.04;16.15;8.1;10.44;9.67;13.18;20.58666667;11.76333333;11.09666667;-0.861337283;0.778912291;-0.925958557;0.002942039;-0.067864283;0.999982966
FBLN1;55.26;57.82;82.19;56.99;57.79;52.97;34.1;16.64;37.47;65.09;55.91666667;29.40333333;-0.300316073;0.99985652;-1.211508671;0.002600093;-0.913262127;0.030683507
SULF1;3.36;2.74;2.24;2.36;4.87;2.54;5.45;5.91;6.55;2.78;3.256666667;5.97;0.312127114;0.99985652;1.178830158;1.83E-07;0.862718901;0.113303546
ERBB3;3.99;5.35;15.18;8.42;3.41;8.53;0.92;0.9;1.16;8.173333333;6.786666667;0.993333333;-0.382048473;0.99985652;-3.100198212;4.91E-05;-2.719665782;4.87E-14
SMOC1;9.88;9.85;10.41;4.92;7.78;2.66;4.93;3.34;7.27;10.04666667;5.12;5.18;-1.044486184;0.725554087;-1.020833562;0.009261416;0.020454379;0.999982966
ADAMTSL1;1.7;0.64;2.15;1.22;1.25;1.12;0.21;0.11;0.25;1.496666667;1.196666667;0.19;-0.169799615;0.99985652;-2.650706614;2.78E-06;-2.48303331;1.11E-09
NPR3;0.72;1.07;2.28;1.43;0.26;1.01;0.07;0.01;0.04;1.356666667;0.9;0.04;-0.648311753;0.99985652;-5.143972145;1.73E-14;-4.496117072;2.06E-07
