gene_symbol;fpkm_ctl_N_1D6_d7;fpkm_ctl_N_4C2_d7;fpkm_ctl_N_WTC11_d7;fpkm_het_N_2A3_d7;fpkm_het_N_3D4_8_d7;fpkm_het_N_4A4_d7;fpkm_hom_N_2B1_9_d7;fpkm_hom_N_2B4_1_d7;fpkm_hom_N_3D6_d7;average_fpkm_ctl_NO_d7;average_fpkm_het_NO_d7;average_fpkm_hom_NO_d7;log2fc_het_NO_D7_vs_ctl_NO_D7;padj_het_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_ctl_NO_D7;padj_hom_NO_D7_vs_ctl_NO_D7;log2fc_hom_NO_D7_vs_het_NO_D7;padj_hom_NO_D7_vs_het_NO_D7
PLXNA2;43.02;30.05;32.82;21.97;25.8;19.09;28.83;29.31;44.64;35.29666667;22.28666667;34.26;-0.59367606;0.007657017;0.00733307;0.993110678;0.597289718;0.016961642
BEND4;3.94;3.5;3.72;2.06;2.27;1.82;2.5;1.99;3.56;3.72;2.05;2.683333333;-0.902668968;1.57E-05;-0.504604397;0.496477536;0.395005531;0.999963945
GRID1;0.78;1.21;0.69;2.13;1.56;2.18;0.88;0.82;1.08;0.893333333;1.956666667;0.926666667;1.096506237;0.006069631;0.034584347;0.978113452;-1.06495185;0.001333407
PDZRN3;11.19;11.77;9.28;6.67;8.19;6.8;6.23;13.18;12.31;10.74666667;7.22;10.57333333;-0.613103308;0.007087889;-0.072155025;0.941499172;0.535954324;0.797899139
HNF1B;14.6;7.72;8.92;3.21;5.32;3.06;6.59;14.57;11.19;10.41333333;3.863333333;10.78333333;-1.490458906;0.001675637;0.004638355;0.997486228;1.488704236;0.000499599
SAPCD2;10.22;12.71;10.3;17.24;16.77;21.13;19.42;17.43;14;11.07666667;18.38;16.95;0.688541455;0.000292486;0.584260519;0.083680332;-0.107968948;0.999963945
MYC;10.2;12.41;10.65;16.28;16.01;18.86;15.18;12.15;10.4;11.08666667;17.05;12.57666667;0.589920612;0.000281461;0.158581207;0.76468475;-0.434960342;0.321645364
RGPD6;7.35;6.77;6.22;4.13;4.85;4.86;5.37;4.43;5.38;6.78;4.613333333;5.06;-0.5873575;0.006069631;-0.444890987;0.287807263;0.13917458;0.999963945
ID1;17.96;25.66;25.47;44.73;33.14;50.88;30.02;27.8;21.44;23.03;42.91666667;26.42;0.826325214;0.008950697;0.139934838;0.841770999;-0.690022894;0.040886342
PTP4A1;39.32;35.03;30.17;18.88;16.2;17.24;19.47;15.59;36.45;34.84;17.44;23.83666667;-1.043666547;1.87E-12;-0.579095543;0.520608591;0.462568166;0.999963945
PTX3;3.9;5.88;5.33;9.63;9.57;11.44;8.1;5.59;4.24;5.036666667;10.21333333;5.976666667;0.97385705;0.00056046;0.211455275;0.825721309;-0.765942051;0.119668999
LOC102724560;5.67;7.32;4.63;10.68;9.04;10.54;5.82;6.75;5.95;5.873333333;10.08666667;6.173333333;0.747128155;0.008676904;0.037651359;0.963049499;-0.713540174;0.002295105
FAM181A;21.84;24.09;22.18;39.03;36.89;47.66;40.8;44.46;31.42;22.70333333;41.19333333;38.89333333;0.80397416;3.87E-06;0.733790606;0.015400428;-0.074334502;0.999963945
VSTM2L;6.89;8.77;8.42;13.55;13;15.3;12.57;11.55;11.15;8.026666667;13.95;11.75666667;0.746723788;0.000665262;0.514570273;0.282948782;-0.235725497;0.999963945
